Index,Album,Folder,Original Photo,Source,Output,Original Size,Output Size
346,Jacobi Matrix,jacobi-matrix,DSC_2322.jpg,C:\Users\jimmy\Pictures\Image_Output\DSC_2322.jpg,C:\Users\jimmy\Pictures\BlogFile\source\images\albums\jacobi-matrix\0346_DSC_2322.webp,4350x7739,1151x2048
347,Monomial,monomial,DSC_2438.jpg,C:\Users\jimmy\Pictures\Image_Output\DSC_2438.jpg,C:\Users\jimmy\Pictures\BlogFile\source\images\albums\monomial\0347_DSC_2438.webp,7785x4375,2048x1151
348,Monomial,monomial,DSC_2444.jpg,C:\Users\jimmy\Pictures\Image_Output\DSC_2444.jpg,C:\Users\jimmy\Pictures\BlogFile\source\images\albums\monomial\0348_DSC_2444.webp,8111x4558,2048x1151
349,Monomial,monomial,DSC_2441.jpg,C:\Users\jimmy\Pictures\Image_Output\DSC_2441.jpg,C:\Users\jimmy\Pictures\BlogFile\source\images\albums\monomial\0349_DSC_2441.webp,4395x7820,1151x2048
350,Monomial,monomial,DSC_2445.jpg,C:\Users\jimmy\Pictures\Image_Output\DSC_2445.jpg,C:\Users\jimmy\Pictures\BlogFile\source\images\albums\monomial\0350_DSC_2445.webp,4558x8111,1151x2048
351,Intersection,intersection,DSC_2461.jpg,C:\Users\jimmy\Pictures\Image_Output\DSC_2461.jpg,C:\Users\jimmy\Pictures\BlogFile\source\images\albums\intersection\0351_DSC_2461.webp,7703x3223,2048x857
352,Intersection,intersection,DSC_2458.jpg,C:\Users\jimmy\Pictures\Image_Output\DSC_2458.jpg,C:\Users\jimmy\Pictures\BlogFile\source\images\albums\intersection\0352_DSC_2458.webp,7703x3223,2048x857
353,Yardstick Metric,yardstick-metric,DSC_2476.jpg,C:\Users\jimmy\Pictures\Image_Output\DSC_2476.jpg,C:\Users\jimmy\Pictures\BlogFile\source\images\albums\yardstick-metric\0353_DSC_2476.webp,7866x4421,2048x1151
354,Intersection,intersection,DSC_2464.jpg,C:\Users\jimmy\Pictures\Image_Output\DSC_2464.jpg,C:\Users\jimmy\Pictures\BlogFile\source\images\albums\intersection\0354_DSC_2464.webp,7851x3285,2048x857
355,Intersection,intersection,DSC_2471.jpg,C:\Users\jimmy\Pictures\Image_Output\DSC_2471.jpg,C:\Users\jimmy\Pictures\BlogFile\source\images\albums\intersection\0355_DSC_2471.webp,8808x3686,2048x857
356,Jacobi Matrix,jacobi-matrix,DSC_2478.jpg,C:\Users\jimmy\Pictures\Image_Output\DSC_2478.jpg,C:\Users\jimmy\Pictures\BlogFile\source\images\albums\jacobi-matrix\0356_DSC_2478.webp,8256x4640,2048x1151
357,Mode,mode,stacked.jpg,C:\Users\jimmy\Pictures\Image_Output\stacked.jpg,C:\Users\jimmy\Pictures\BlogFile\source\images\albums\mode\0357_stacked.webp,8256x4640,2048x1151
358,Mode,mode,DSC_2519.jpg,C:\Users\jimmy\Pictures\Image_Output\DSC_2519.jpg,C:\Users\jimmy\Pictures\BlogFile\source\images\albums\mode\0358_DSC_2519.webp,8256x4640,2048x1151
359,Magnitude,magnitude,DSC_2663 - DSC_2674.tif,C:\Users\jimmy\Pictures\Image_Output\DSC_2663 - DSC_2674.tif,C:\Users\jimmy\Pictures\BlogFile\source\images\albums\magnitude\0359_DSC_2663 - DSC_2674.webp,12565x6783,2048x1106
360,Yardstick Metric,yardstick-metric,DSC_2528.jpg,C:\Users\jimmy\Pictures\Image_Output\DSC_2528.jpg,C:\Users\jimmy\Pictures\BlogFile\source\images\albums\yardstick-metric\0360_DSC_2528.webp,7862x4418,2048x1151
361,Intersection,intersection,DSC_2529.jpg,C:\Users\jimmy\Pictures\Image_Output\DSC_2529.jpg,C:\Users\jimmy\Pictures\BlogFile\source\images\albums\intersection\0361_DSC_2529.webp,7841x4407,2048x1151
362,Monomial,monomial,DSC_2533.jpg,C:\Users\jimmy\Pictures\Image_Output\DSC_2533.jpg,C:\Users\jimmy\Pictures\BlogFile\source\images\albums\monomial\0362_DSC_2533.webp,8111x4558,2048x1151
363,Monomial,monomial,DSC_2540.jpg,C:\Users\jimmy\Pictures\Image_Output\DSC_2540.jpg,C:\Users\jimmy\Pictures\BlogFile\source\images\albums\monomial\0363_DSC_2540.webp,8111x4558,2048x1151
364,Jacobi Matrix,jacobi-matrix,DSC_2553.jpg,C:\Users\jimmy\Pictures\Image_Output\DSC_2553.jpg,C:\Users\jimmy\Pictures\BlogFile\source\images\albums\jacobi-matrix\0364_DSC_2553.webp,8256x4640,2048x1151
365,Monomial,monomial,DSC_2565.jpg,C:\Users\jimmy\Pictures\Image_Output\DSC_2565.jpg,C:\Users\jimmy\Pictures\BlogFile\source\images\albums\monomial\0365_DSC_2565.webp,4640x8256,1151x2048
366,Intersection,intersection,DSC_2572.jpg,C:\Users\jimmy\Pictures\Image_Output\DSC_2572.jpg,C:\Users\jimmy\Pictures\BlogFile\source\images\albums\intersection\0366_DSC_2572.webp,8256x3454,2048x857
367,Intersection,intersection,DSC_2576.jpg,C:\Users\jimmy\Pictures\Image_Output\DSC_2576.jpg,C:\Users\jimmy\Pictures\BlogFile\source\images\albums\intersection\0367_DSC_2576.webp,8111x4558,2048x1151
368,Intersection,intersection,DSC_2627.jpg,C:\Users\jimmy\Pictures\Image_Output\DSC_2627.jpg,C:\Users\jimmy\Pictures\BlogFile\source\images\albums\intersection\0368_DSC_2627.webp,4640x8256,1151x2048
369,Jacobi Matrix,jacobi-matrix,DSC_2633.jpg,C:\Users\jimmy\Pictures\Image_Output\DSC_2633.jpg,C:\Users\jimmy\Pictures\BlogFile\source\images\albums\jacobi-matrix\0369_DSC_2633.webp,8256x4640,2048x1151
370,Mode,mode,DSC_2628.jpg,C:\Users\jimmy\Pictures\Image_Output\DSC_2628.jpg,C:\Users\jimmy\Pictures\BlogFile\source\images\albums\mode\0370_DSC_2628.webp,8256x4640,2048x1151
371,Jacobi Matrix,jacobi-matrix,DSC_2677.jpg,C:\Users\jimmy\Pictures\Image_Output\DSC_2677.jpg,C:\Users\jimmy\Pictures\BlogFile\source\images\albums\jacobi-matrix\0371_DSC_2677.webp,8256x4640,2048x1151
372,Magnitude,magnitude,DSC_2679.jpg,C:\Users\jimmy\Pictures\Image_Output\DSC_2679.jpg,C:\Users\jimmy\Pictures\BlogFile\source\images\albums\magnitude\0372_DSC_2679.webp,4640x8256,1151x2048
373,Monomial,monomial,DSC_2684.jpg,C:\Users\jimmy\Pictures\Image_Output\DSC_2684.jpg,C:\Users\jimmy\Pictures\BlogFile\source\images\albums\monomial\0373_DSC_2684.webp,8111x4558,2048x1151
374,Magnitude,magnitude,DSC_2693.jpg,C:\Users\jimmy\Pictures\Image_Output\DSC_2693.jpg,C:\Users\jimmy\Pictures\BlogFile\source\images\albums\magnitude\0374_DSC_2693.webp,4640x8256,1151x2048
375,Mode,mode,DSC_2703.jpg,C:\Users\jimmy\Pictures\Image_Output\DSC_2703.jpg,C:\Users\jimmy\Pictures\BlogFile\source\images\albums\mode\0375_DSC_2703.webp,8111x4558,2048x1151
376,Monomial,monomial,DSC_2704.jpg,C:\Users\jimmy\Pictures\Image_Output\DSC_2704.jpg,C:\Users\jimmy\Pictures\BlogFile\source\images\albums\monomial\0376_DSC_2704.webp,8111x4558,2048x1151
377,Monomial,monomial,DSC_2737.jpg,C:\Users\jimmy\Pictures\Image_Output\DSC_2737.jpg,C:\Users\jimmy\Pictures\BlogFile\source\images\albums\monomial\0377_DSC_2737.webp,8111x4558,2048x1151
378,Monomial,monomial,DSC_2740.jpg,C:\Users\jimmy\Pictures\Image_Output\DSC_2740.jpg,C:\Users\jimmy\Pictures\BlogFile\source\images\albums\monomial\0378_DSC_2740.webp,7340x4125,2048x1151
379,Intersection,intersection,DSC_2760.jpg,C:\Users\jimmy\Pictures\Image_Output\DSC_2760.jpg,C:\Users\jimmy\Pictures\BlogFile\source\images\albums\intersection\0379_DSC_2760.webp,8111x4558,2048x1151
380,Intersection,intersection,DSC_2761.jpg,C:\Users\jimmy\Pictures\Image_Output\DSC_2761.jpg,C:\Users\jimmy\Pictures\BlogFile\source\images\albums\intersection\0380_DSC_2761.webp,8111x4558,2048x1151
381,Yardstick Metric,yardstick-metric,DSC_2786.jpg,C:\Users\jimmy\Pictures\Image_Output\DSC_2786.jpg,C:\Users\jimmy\Pictures\BlogFile\source\images\albums\yardstick-metric\0381_DSC_2786.webp,8256x4640,2048x1151
382,Intersection,intersection,DSC_2807.jpg,C:\Users\jimmy\Pictures\Image_Output\DSC_2807.jpg,C:\Users\jimmy\Pictures\BlogFile\source\images\albums\intersection\0382_DSC_2807.webp,7973x3336,2048x857
383,Yardstick Metric,yardstick-metric,DSC_2801.jpg,C:\Users\jimmy\Pictures\Image_Output\DSC_2801.jpg,C:\Users\jimmy\Pictures\BlogFile\source\images\albums\yardstick-metric\0383_DSC_2801.webp,8111x4558,2048x1151
384,Monomial,monomial,DSC_2809.jpg,C:\Users\jimmy\Pictures\Image_Output\DSC_2809.jpg,C:\Users\jimmy\Pictures\BlogFile\source\images\albums\monomial\0384_DSC_2809.webp,8243x3449,2048x857
385,Yardstick Metric,yardstick-metric,DSC_2772 - DSC_2784.jpg,C:\Users\jimmy\Pictures\Image_Output\DSC_2772 - DSC_2784.jpg,C:\Users\jimmy\Pictures\BlogFile\source\images\albums\yardstick-metric\0385_DSC_2772 - DSC_2784.webp,11513x6501,2048x1156
386,Intersection,intersection,DSC_2708 - DSC_2719.jpg,C:\Users\jimmy\Pictures\Image_Output\DSC_2708 - DSC_2719.jpg,C:\Users\jimmy\Pictures\BlogFile\source\images\albums\intersection\0386_DSC_2708 - DSC_2719.webp,19439x4405,2048x464
387,Yardstick Metric,yardstick-metric,DSC_2582 - DSC_2599.jpg,C:\Users\jimmy\Pictures\Image_Output\DSC_2582 - DSC_2599.jpg,C:\Users\jimmy\Pictures\BlogFile\source\images\albums\yardstick-metric\0387_DSC_2582 - DSC_2599.webp,18461x6201,2048x688
388,Jacobi Matrix,jacobi-matrix,DSC_2638 - DSC_2653.jpg,C:\Users\jimmy\Pictures\Image_Output\DSC_2638 - DSC_2653.jpg,C:\Users\jimmy\Pictures\BlogFile\source\images\albums\jacobi-matrix\0388_DSC_2638 - DSC_2653.webp,13717x6541,2048x977
389,Yardstick Metric,yardstick-metric,DSC_1937.jpg,C:\Users\jimmy\Pictures\Image_Output\DSC_1937.jpg,C:\Users\jimmy\Pictures\BlogFile\source\images\albums\yardstick-metric\0389_DSC_1937.webp,4558x8111,1151x2048
390,Monomial,monomial,DSC_2862.jpg,C:\Users\jimmy\Pictures\Image_Output\DSC_2862.jpg,C:\Users\jimmy\Pictures\BlogFile\source\images\albums\monomial\0390_DSC_2862.webp,3429x1929,2048x1152
