Album,Folder,Source,Output,Texture,Original Photo,Timestamp
Monomial,monomial,..\Image_Output\IMG_9209-2.jpg,source\images\albums\monomial\0051_IMG_9209-2.webp,,IMG_9209-2,00:05.833
Monomial,monomial,..\Image_Output\IMG_9310.jpg,source\images\albums\monomial\0052_IMG_9310.webp,,IMG_9310,00:05.950
Jacobi Matrix,jacobi-matrix,..\Image_Output\DSC_8493.jpg,source\images\albums\jacobi-matrix\0053_DSC_8493.webp,,DSC_8493,00:06.067
Intersection,intersection,..\Image_Output\DSC_1013.jpg,source\images\albums\intersection\0054_DSC_1013.webp,,DSC_1013,00:06.183
Jacobi Matrix,jacobi-matrix,..\Image_Output\DSC_0991.jpg,source\images\albums\jacobi-matrix\0055_DSC_0991.webp,,DSC_0991,00:06.300
Yardstick Metric,yardstick-metric,..\Image_Output\DSC_0274.jpg,source\images\albums\yardstick-metric\0056_DSC_0274.webp,,DSC_0274,00:06.417
Yardstick Metric,yardstick-metric,..\Image_Output\DSC_7203.jpg,source\images\albums\yardstick-metric\0059_DSC_7203.webp,,DSC_7203,00:06.767
Mode,mode,..\Image_Output\DSC_0965.jpg,source\images\albums\mode\0060_DSC_0965.webp,,DSC_0965,00:06.883
Intersection,intersection,..\Image_Output\DSC_8210-DxO_DeepPRIME XD2s_XD.jpg,source\images\albums\intersection\0061_DSC_8210-DxO_DeepPRIME XD2s_XD.webp,,DSC_8210-DxO_DeepPRIME XD2s_XD,00:07.000
Intersection,intersection,..\Image_Output\DSC_0251.jpg,source\images\albums\intersection\0062_DSC_0251.webp,,DSC_0251,00:07.117
Jacobi Matrix,jacobi-matrix,..\Image_Output\IMG_9412.jpg,source\images\albums\jacobi-matrix\0063_IMG_9412.webp,,IMG_9412,00:07.233
Intersection,intersection,..\Image_Output\DSC_8850.jpg,source\images\albums\intersection\0064_DSC_8850.webp,,DSC_8850,00:07.350
Yardstick Metric,yardstick-metric,..\Image_Output\DSC_8862.jpg,source\images\albums\yardstick-metric\0065_DSC_8862.webp,,DSC_8862,00:07.467
Monomial,monomial,..\Image_Output\DSC_0310.jpg,source\images\albums\monomial\0067_DSC_0310.webp,,DSC_0310,00:07.700
Monomial,monomial,..\Image_Output\IMG_9300.jpg,source\images\albums\monomial\0068_IMG_9300.webp,,IMG_9300,00:07.817
Jacobi Matrix,jacobi-matrix,..\Image_Output\DSC_0424.jpg,source\images\albums\jacobi-matrix\0069_DSC_0424.webp,,DSC_0424,00:07.933
Monomial,monomial,..\Image_Output\DSC_0311.jpg,source\images\albums\monomial\0070_DSC_0311.webp,,DSC_0311,00:08.050
Intersection,intersection,..\Image_Output\IMG_8547-已增强-降噪.jpg,source\images\albums\intersection\0071_IMG_8547-已增强-降噪.webp,,IMG_8547-已增强-降噪,00:08.167
Intersection,intersection,..\Image_Output\DSC_8959.jpg,source\images\albums\intersection\0072_DSC_8959.webp,,DSC_8959,00:08.283
Yardstick Metric,yardstick-metric,..\Image_Output\IMG_9290.jpg,source\images\albums\yardstick-metric\0073_IMG_9290.webp,,IMG_9290,00:08.400
Jacobi Matrix,jacobi-matrix,..\Image_Output\DSC_0185.jpg,source\images\albums\jacobi-matrix\0074_DSC_0185.webp,,DSC_0185,00:08.517
Magnitude,magnitude,..\Image_Output\DSC_8317.tif,source\images\albums\magnitude\0076_DSC_8317.webp,,DSC_8317,00:08.750
Monomial,monomial,..\Image_Output\DSC_0313.jpg,source\images\albums\monomial\0077_DSC_0313.webp,,DSC_0313,00:08.867
