Album,Folder,Source,Output,Texture,Original Photo,Timestamp
Monomial,monomial,..\Image_Output\DSC_9442-DxO_DeepPRIME XD2s_XD.jpg,source\images\albums\monomial\0256_DSC_9442-DxO_DeepPRIME XD2s_XD.webp,,DSC_9442-DxO_DeepPRIME XD2s_XD,00:29.750
Mode,mode,..\Image_Output\DSC_8400.jpg,source\images\albums\mode\0257_DSC_8400.webp,,DSC_8400,00:29.867
Yardstick Metric,yardstick-metric,..\Image_Output\IMG_9382.jpg,source\images\albums\yardstick-metric\0258_IMG_9382.webp,,IMG_9382,00:29.983
Jacobi Matrix,jacobi-matrix,..\Image_Output\DSC_8409.jpg,source\images\albums\jacobi-matrix\0260_DSC_8409.webp,,DSC_8409,00:30.217
Intersection,intersection,..\Image_Output\DSC_8491.jpg,source\images\albums\intersection\0261_DSC_8491.webp,,DSC_8491,00:30.333
Magnitude,magnitude,..\Image_Output\DSC_8371.jpg,source\images\albums\magnitude\0262_DSC_8371.webp,,DSC_8371,00:30.450
Monomial,monomial,..\Image_Output\IMG_9313.jpg,source\images\albums\monomial\0263_IMG_9313.webp,,IMG_9313,00:30.567
Mode,mode,..\Image_Output\DSC_7135.jpg,source\images\albums\mode\0264_DSC_7135.webp,,DSC_7135,00:30.683
Monomial,monomial,..\Image_Output\IMG_9327.jpg,source\images\albums\monomial\0265_IMG_9327.webp,,IMG_9327,00:30.800
Monomial,monomial,..\Image_Output\DSC_1129.jpg,source\images\albums\monomial\0266_DSC_1129.webp,,DSC_1129,00:30.917
Jacobi Matrix,jacobi-matrix,..\Image_Output\DSC_0240.jpg,source\images\albums\jacobi-matrix\0267_DSC_0240.webp,,DSC_0240,00:31.033
Intersection,intersection,..\Image_Output\DSC_1125.jpg,source\images\albums\intersection\0269_DSC_1125.webp,,DSC_1125,00:31.267
Intersection,intersection,..\Image_Output\DSC_1086.jpg,source\images\albums\intersection\0271_DSC_1086.webp,,DSC_1086,00:31.500
Monomial,monomial,..\Image_Output\DSC_1130.jpg,source\images\albums\monomial\0272_DSC_1130.webp,,DSC_1130,00:31.617
